onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC num_trial num_block dir_target proba switch
258.709 2.402 1130469 72 "TRIALID 71" 1131073 1131656 1131957 1132740 "[1131037, 1132199, 1132347]" "[1132163.0, 1132324.0, 1132839.0]" "[1132164, 1132325]" "[1132198.0, 1132346.0]" 72 1 0.0 0.15951564251606967 0.0
262.211 2.315 1133971 73 "TRIALID 72" 1134573 1135073 1135374 1136155 "[1134532, 1134683, 1134806, 1135600, 1135769]" "[1134659.0, 1134772.0, 1135572.0, 1135746.0, 1136255.0]" "[1134660, 1134773, 1135573, 1135747]" "[1134682.0, 1134805.0, 1135599.0, 1135768.0]" 73 1 0.0 0.15951564251606967 0.0
265.626 2.65 1137386 74 "TRIALID 73" 1137988 1138822 1139123 1139904 "[1137950, 1138202, 1138515, 1139347, 1139504]" "[1138192.0, 1138500.0, 1139321.0, 1139482.0, 1140003.0]" "[1138193, 1138501, 1139322, 1139483]" "[1138201.0, 1138514.0, 1139346.0, 1139503.0]" 74 1 0.0 0.15951564251606967 0.0
269.377 2.326 1141137 75 "TRIALID 74" 1141737 1142266 1142567 1143335 "[1141697, 1141945, 1142244, 1142806, 1142964]" "[1141936.0, 1142226.0, 1142769.0, 1142941.0, 1143434.0]" "[1141937, 1142227, 1142770, 1142942]" "[1141944.0, 1142243.0, 1142805.0, 1142963.0]" 75 1 0.0 0.15951564251606967 0.0
272.803 2.631 1144563 76 "TRIALID 75" 1145169 1145994 1146294 1147069 "[1145134, 1145405, 1145566, 1146525, 1146685]" "[1145386.0, 1145548.0, 1146498.0, 1146660.0, 1147175.0]" "[1145387, 1145549, 1146499, 1146661]" "[1145404.0, 1145565.0, 1146524.0, 1146684.0]" 76 1 0.0 0.15951564251606967 0.0
276.534 2.547 1148294 77 "TRIALID 76" 1148901 1149643 1149943 1150717 "[1148854, 1150153, 1150327]" "[1150126.0, 1150306.0, 1150822.0]" "[1150127, 1150307]" "[1150152.0, 1150326.0]" 77 1 0.0 0.15951564251606967 0.0
280.181 2.259 1151941 78 "TRIALID 77" 1152544 1152984 1153285 1154067 "[1152502, 1152705, 1153091, 1153536, 1153718]" "[1152691.0, 1153084.0, 1153500.0, 1153697.0, 1154167.0]" "[1152692, 1153085, 1153501, 1153698]" "[1152704.0, 1153090.0, 1153535.0, 1153717.0]" 78 1 0.0 0.15951564251606967 0.0
283.54 2.465 1155300 79 "TRIALID 78" 1155916 1156550 1156851 1157632 "[1155870, 1155939, 1156152, 1157055, 1157215]" "[1155917.0, 1156142.0, 1157028.0, 1157193.0, 1157732.0]" "[1155918, 1156143, 1157029, 1157194]" "[1155938.0, 1156151.0, 1157054.0, 1157214.0]" 79 1 0.0 0.15951564251606967 0.0
287.105 2.49 1158865 80 "TRIALID 79" 1159475 1160138 1160439 1161214 "[1159426, 1159676, 1160006, 1160676, 1160832]" "[1159655.0, 1159985.0, 1160639.0, 1160808.0, 1161300.0]" "[1159656, 1159986, 1160640, 1160809, 1161301]" "[1159675.0, 1160005.0, 1160675.0, 1160831.0, 1161324.0]" 80 1 0.0 0.15951564251606967 0.0
290.695 2.402 1162455 81 "TRIALID 80" 1163064 1163658 1163959 1164730 "[1163022, 1163286, 1163510, 1164164, 1164322]" "[1163268.0, 1163492.0, 1164127.0, 1164297.0, 1164838.0]" "[1163269, 1163493, 1164128, 1164298]" "[1163285.0, 1163509.0, 1164163.0, 1164321.0]" 81 1 0.0 0.15951564251606967 0.0
